temps	angle
0	0
0.01	0.7673227386
0.02	1.529678481
0.03	2.286722535
0.04	3.038114879
0.05	3.783520301
0.06	4.522608536
0.07	5.255054395
0.08	5.980537897
0.09	6.698744396
0.1	7.4093647
0.11	8.112095193
0.12	8.806637951
0.13	9.492700852
0.14	10.16999769
0.15	10.83824826
0.16	11.49717851
0.17	12.14652057
0.18	12.78601289
0.19	13.41540034
0.2	14.03443426
0.21	14.64287256
0.22	15.24047983
0.23	15.82702734
0.24	16.40229321
0.25	16.9660624
0.26	17.5181268
0.27	18.05828531
0.28	18.58634387
0.29	19.10211551
0.3	19.60542045
0.31	20.09608607
0.32	20.57394701
0.33	21.03884518
0.34	21.49062982
0.35	21.92915747
0.36	22.35429209
0.37	22.765905
0.38	23.16387493
0.39	23.54808805
0.4	23.91843796
0.41	24.27482571
0.42	24.61715979
0.43	24.94535614
0.44	25.25933816
0.45	25.55903668
0.46	25.84438994
0.47	26.11534363
0.48	26.37185081
0.49	26.61387193
0.5	26.84137478
0.51	27.05433449
0.52	27.25273346
0.53	27.43656136
0.54	27.60581507
0.55	27.76049865
0.56	27.9006233
0.57	28.02620728
0.58	28.13727591
0.59	28.23386147
0.6	28.31600316
0.61	28.38374705
0.62	28.43714599
0.63	28.47625957
0.64	28.50115404
0.65	28.51190223
0.66	28.50858348
0.67	28.49128357
0.68	28.46009464
0.69	28.41511509
0.7	28.35644951
0.71	28.28420856
0.72	28.19850895
0.73	28.09947328
0.74	27.98722994
0.75	27.86191309
0.76	27.72366247
0.77	27.57262334
0.78	27.4089464
0.79	27.23278761
0.8	27.04430816
0.81	26.84367433
0.82	26.63105735
0.83	26.40663332
0.84	26.1705831
0.85	25.92309215
0.86	25.66435048
0.87	25.39455244
0.88	25.11389668
0.89	24.82258599
0.9	24.52082717
0.91	24.20883093
0.92	23.88681172
0.93	23.55498766
0.94	23.21358036
0.95	22.86281482
0.96	22.50291929
0.97	22.13412513
0.98	21.7566667
0.99	21.3707812
1	20.97670856
1.01	20.57469129
1.02	20.16497434
1.03	19.74780501
1.04	19.32343274
1.05	18.89210905
1.06	18.45408734
1.07	18.0096228
1.08	17.55897225
1.09	17.10239404
1.1	16.64014783
1.11	16.17249457
1.12	15.69969625
1.13	15.22201587
1.14	14.73971722
1.15	14.2530648
1.16	13.76232364
1.17	13.26775923
1.18	12.76963731
1.19	12.26822381
1.2	11.76378467
1.21	11.25658572
1.22	10.74689257
1.23	10.23497046
1.24	9.721084128
1.25	9.205497708
1.26	8.688474582
1.27	8.170277261
1.28	7.651167265
1.29	7.131404996
1.3	6.611249619
1.31	6.090958943
1.32	5.5707893
1.33	5.050995429
1.34	4.531830361
1.35	4.013545305
1.36	3.496389534
1.37	2.980610276
1.38	2.466452604
1.39	1.954159328
1.4	1.443970891
1.41	0.936125263
1.42	0.4308578401
1.43	-0.07159865597
1.44	-0.571014276
1.45	-1.06716194
1.46	-1.559817531
1.47	-2.048759987
1.48	-2.533771395
1.49	-3.014637072
1.5	-3.491145658
1.51	-3.963089196
1.52	-4.430263217
1.53	-4.892466815
1.54	-5.349502727
1.55	-5.80117741
1.56	-6.24730111
1.57	-6.687687935
1.58	-7.122155923
1.59	-7.550527106
1.6	-7.972627576
1.61	-8.388287544
1.62	-8.797341401
1.63	-9.199627771
1.64	-9.594989569
1.65	-9.98327405
1.66	-10.36433286
1.67	-10.73802207
1.68	-11.10420226
1.69	-11.46273849
1.7	-11.81350042
1.71	-12.15636228
1.72	-12.49120295
1.73	-12.81790597
1.74	-13.13635957
1.75	-13.44645669
1.76	-13.74809504
1.77	-14.04117707
1.78	-14.32561004
1.79	-14.60130598
1.8	-14.86818178
1.81	-15.12615912
1.82	-15.37516453
1.83	-15.61512941
1.84	-15.84598997
1.85	-16.0676873
1.86	-16.28016735
1.87	-16.48338088
1.88	-16.67728354
1.89	-16.86183579
1.9	-17.03700293
1.91	-17.20275509
1.92	-17.35906716
1.93	-17.50591886
1.94	-17.64329466
1.95	-17.77118378
1.96	-17.88958015
1.97	-17.99848242
1.98	-18.0978939
1.99	-18.18782254
2	-18.2682809
2.01	-18.33928611
2.02	-18.40085986
2.03	-18.45302833
2.04	-18.49582215
2.05	-18.5292764
